# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.780154
1.75 1.75 1.780652
1.75 1.75 1.781154
1.75 1.75 1.781661
1.75 1.75 1.782172
1.75 1.75 1.782689
1.75 1.75 1.783210
1.75 1.75 1.783736
1.75 1.75 1.784268
1.75 1.75 1.784805
1.75 1.75 1.785348
1.75 1.75 1.785896
1.75 1.75 1.786450
1.75 1.75 1.787010
1.75 1.75 1.787576
1.75 1.75 1.788148
1.75 1.75 1.788726
1.75 1.75 1.789311
1.75 1.75 1.789902
1.75 1.75 1.790500
1.75 1.75 1.791105
1.75 1.75 1.791717
1.75 1.75 1.792336
1.75 1.75 1.792963
1.75 1.75 1.793597
1.75 1.75 1.794239
1.75 1.75 1.794888
1.75 1.75 1.795546
1.75 1.75 1.796212
1.75 1.75 1.796887
1.75 1.75 1.797570
1.75 1.75 1.798263
1.75 1.75 1.798964
1.75 1.75 1.799674
1.75 1.75 1.800394
1.75 1.75 1.801124
1.75 1.75 1.801864
1.75 1.75 1.802614
1.75 1.75 1.803374
1.75 1.75 1.804145
1.75 1.75 1.804244
1.75 1.75 1.804346
1.75 1.75 1.804451
1.75 1.75 1.804559
1.75 1.75 1.804670
1.75 1.75 1.804785
1.75 1.75 1.804902
1.75 1.75 1.805022
1.75 1.75 1.805145
1.75 1.75 1.805271
1.75 1.75 1.805399
1.75 1.75 1.805531
1.75 1.75 1.805666
1.75 1.75 1.805804
1.75 1.75 1.805945
1.75 1.75 1.806088
1.75 1.75 1.806235
1.75 1.75 1.806385
1.75 1.75 1.806537
1.75 1.75 1.806693
1.75 1.75 1.806852
1.75 1.75 1.807013
1.75 1.75 1.807178
1.75 1.75 1.807346
1.75 1.75 1.807517
1.75 1.75 1.807691
1.75 1.75 1.807868
1.75 1.75 1.808048
1.75 1.75 1.808231
1.75 1.75 1.808417
1.75 1.75 1.808607
1.75 1.75 1.808800
1.75 1.75 1.808996
1.75 1.75 1.809195
1.75 1.75 1.809397
1.75 1.75 1.809603
1.75 1.75 1.809812
1.75 1.75 1.810025
1.75 1.75 1.810240
1.75 1.75 1.810460
1.75 1.75 1.810682
1.75 1.75 1.810909
1.75 1.75 1.811138
